,name,ratio,k_size,max_dist,fidelity,n_segs,img_num
168,quickshift,0.01,3,100,0.5671129587486265,57,21
169,quickshift,0.01,3,1000,0.55646990355996,57,21
170,quickshift,0.01,8,100,0.6209392868634435,12,21
171,quickshift,0.01,8,1000,0.6241804853452859,12,21
172,quickshift,0.2,3,100,0.5916636634411232,59,21
173,quickshift,0.2,3,1000,0.56506242841865,59,21
174,quickshift,0.2,8,100,0.7150050226400254,12,21
175,quickshift,0.2,8,1000,0.716915406268116,12,21
176,quickshift,0.01,3,100,0.11498965482931855,62,22
177,quickshift,0.01,3,1000,0.11644895711473291,62,22
178,quickshift,0.01,8,100,0.3984194998953723,8,22
179,quickshift,0.01,8,1000,0.41789005978666227,8,22
180,quickshift,0.2,3,100,0.1282561688909294,64,22
181,quickshift,0.2,3,1000,0.1253826311177585,64,22
182,quickshift,0.2,8,100,0.24784879665762471,9,22
183,quickshift,0.2,8,1000,0.2451226903524345,9,22
184,quickshift,0.01,3,100,0.6439389001613273,65,23
185,quickshift,0.01,3,1000,0.6514052294946877,65,23
186,quickshift,0.01,8,100,0.7187195662429321,11,23
187,quickshift,0.01,8,1000,0.7324287092509854,11,23
188,quickshift,0.2,3,100,0.5678402893332657,68,23
189,quickshift,0.2,3,1000,0.5068361405616053,68,23
190,quickshift,0.2,8,100,0.825446685981118,11,23
191,quickshift,0.2,8,1000,0.7934431391136343,11,23
192,quickshift,0.01,3,100,0.15364455623804518,76,24
193,quickshift,0.01,3,1000,0.13471867947741123,76,24
194,quickshift,0.01,8,100,0.0952884898140305,10,24
195,quickshift,0.01,8,1000,0.11057344820432448,10,24
196,quickshift,0.2,3,100,0.15263457214906628,80,24
197,quickshift,0.2,3,1000,0.14894242936019075,80,24
198,quickshift,0.2,8,100,0.10493936901817058,10,24
199,quickshift,0.2,8,1000,0.09538823231440163,10,24
200,quickshift,0.01,3,100,0.11763535890514765,65,25
201,quickshift,0.01,3,1000,0.11534774136557314,65,25
202,quickshift,0.01,8,100,0.5967196858015988,8,25
203,quickshift,0.01,8,1000,0.622219474044636,8,25
204,quickshift,0.2,3,100,0.11768599091432475,64,25
205,quickshift,0.2,3,1000,0.1214373997767898,64,25
206,quickshift,0.2,8,100,0.562208100118339,9,25
207,quickshift,0.2,8,1000,0.5057524671764866,9,25
208,quickshift,0.01,3,100,0.47546641124985256,71,26
209,quickshift,0.01,3,1000,0.4930547803504647,71,26
210,quickshift,0.01,8,100,0.31106644987231924,10,26
211,quickshift,0.01,8,1000,0.3208687778928303,10,26
212,quickshift,0.2,3,100,0.4152135989096132,81,26
213,quickshift,0.2,3,1000,0.43649460621529246,81,26
214,quickshift,0.2,8,100,0.30429212289212104,11,26
215,quickshift,0.2,8,1000,0.2624380934847458,11,26
216,quickshift,0.01,3,100,0.19368223877197877,73,27
217,quickshift,0.01,3,1000,0.20201160205245697,73,27
218,quickshift,0.01,8,100,0.5755007647846608,8,27
219,quickshift,0.01,8,1000,0.5194404875249984,8,27
220,quickshift,0.2,3,100,0.1873623163105015,80,27
221,quickshift,0.2,3,1000,0.1669662303922913,80,27
222,quickshift,0.2,8,100,0.5065049255485616,10,27
223,quickshift,0.2,8,1000,0.5363098413635783,10,27
224,quickshift,0.01,3,100,0.12541582204551638,68,28
225,quickshift,0.01,3,1000,0.11210610740224124,68,28
226,quickshift,0.01,8,100,0.09320704493186782,10,28
227,quickshift,0.01,8,1000,0.09879346725903748,10,28
228,quickshift,0.2,3,100,0.12072356046809961,67,28
229,quickshift,0.2,3,1000,0.12420084005604226,67,28
230,quickshift,0.2,8,100,0.12814126729464748,11,28
231,quickshift,0.2,8,1000,0.11960302055209794,11,28
232,quickshift,0.01,3,100,0.15205902575643981,70,29
233,quickshift,0.01,3,1000,0.15706911999378437,70,29
234,quickshift,0.01,8,100,0.23623400130452443,14,29
