,name,sigma,scale,fidelity,n_segs,img_num
190,felzenszwalb,10,25,0.06446231406655678,33,47
191,felzenszwalb,100,25,0.2740936452131457,1,47
192,felzenszwalb,10,10,0.2334408101777797,117,48
193,felzenszwalb,100,10,0.3116145972336133,187,48
194,felzenszwalb,10,25,0.4766965575253206,35,48
195,felzenszwalb,100,25,0.30519948531347163,168,48
196,felzenszwalb,10,10,0.3503247009132231,201,49
197,felzenszwalb,100,10,0.8462914110176386,4,49
198,felzenszwalb,10,25,0.19942982883242744,64,49
199,felzenszwalb,100,25,0.999873396795581,2,49
200,felzenszwalb,10,10,0.2369365648292976,144,50
201,felzenszwalb,100,10,0.7387605747882378,3,50
202,felzenszwalb,10,25,0.12593373478377656,58,50
203,felzenszwalb,100,25,0.2619214907193308,1,50
204,felzenszwalb,10,10,0.06707577569092482,35,51
205,felzenszwalb,100,10,0.67516627550037,3,51
206,felzenszwalb,10,25,0.06575127438574113,15,51
207,felzenszwalb,100,25,0.2619214885715898,1,51
208,felzenszwalb,10,10,0.33220883109157195,203,52
209,felzenszwalb,100,10,0.22064069829885288,123,52
210,felzenszwalb,10,25,0.17808467584244414,98,52
211,felzenszwalb,100,25,0.5296134857298145,38,52
212,felzenszwalb,10,10,0.19256887835731373,93,53
213,felzenszwalb,100,10,0.9582723491313959,3,53
214,felzenszwalb,10,25,0.3166279983854383,38,53
215,felzenszwalb,100,25,0.9998628500012042,2,53
216,felzenszwalb,10,10,0.07247479064143436,33,54
217,felzenszwalb,100,10,0.3163797479363243,190,54
218,felzenszwalb,10,25,0.39909923312590406,11,54
219,felzenszwalb,100,25,0.28757809759679265,159,54
220,felzenszwalb,10,10,0.20417871297988155,110,55
221,felzenszwalb,100,10,0.2614962793759179,1,55
222,felzenszwalb,10,25,0.07021906649060772,35,55
223,felzenszwalb,100,25,0.26192149033218326,1,55
224,felzenszwalb,10,10,0.08434853235017703,43,56
225,felzenszwalb,100,10,0.30056586016420916,161,56
226,felzenszwalb,10,25,0.1347275806583702,28,56
227,felzenszwalb,100,25,0.20520896817362289,114,56
228,felzenszwalb,10,10,0.528695661620738,75,57
229,felzenszwalb,100,10,0.26783585919897634,1,57
230,felzenszwalb,10,25,0.6574146864250894,21,57
231,felzenszwalb,100,25,0.2699308085066817,1,57
232,felzenszwalb,10,10,0.27115419349338366,161,58
233,felzenszwalb,100,10,0.31061397171173033,188,58
234,felzenszwalb,10,25,0.22285355881549784,46,58
235,felzenszwalb,100,25,0.27705856718789634,165,58
236,felzenszwalb,10,10,0.14778762411795243,134,59
237,felzenszwalb,100,10,0.9991426177636594,2,59
238,felzenszwalb,10,25,0.12671440672838408,48,59
239,felzenszwalb,100,25,0.2728485660875206,1,59
240,felzenszwalb,10,10,0.24397506624710164,141,60
241,felzenszwalb,100,10,0.8376862350962285,3,60
242,felzenszwalb,10,25,0.12865867875507553,42,60
243,felzenszwalb,100,25,0.9992441094784886,2,60
244,felzenszwalb,10,10,0.18565327130978426,107,61
245,felzenszwalb,100,10,0.3357228351754935,191,61
246,felzenszwalb,10,25,0.09211037418850221,48,61
247,felzenszwalb,100,25,0.2798900881898122,174,61
248,felzenszwalb,10,10,0.4758223356720094,56,62
249,felzenszwalb,100,10,0.2699308085066815,1,62
250,felzenszwalb,10,25,0.6887675659292116,15,62
251,felzenszwalb,100,25,0.26319490970243664,1,62
252,felzenszwalb,10,10,0.19242560492359528,75,63
253,felzenszwalb,100,10,0.2711834369948183,1,63
254,felzenszwalb,10,25,0.6477184876149651,20,63
255,felzenszwalb,100,25,0.2678358591989759,1,63
256,felzenszwalb,10,10,0.2735178285503137,166,64
257,felzenszwalb,100,10,0.26432055681744837,160,64
258,felzenszwalb,10,25,0.22143637792454718,57,64
259,felzenszwalb,100,25,0.2309890724143293,138,64
260,felzenszwalb,10,10,0.3789363365636862,236,65
261,felzenszwalb,100,10,0.7743875050224825,3,65
262,felzenszwalb,10,25,0.550187018885106,85,65
263,felzenszwalb,100,25,0.9998368241799649,2,65
264,felzenszwalb,10,10,0.2156079474438676,139,66
265,felzenszwalb,100,10,0.10286299826888456,55,66
266,felzenszwalb,10,25,0.20676827307284984,53,66
267,felzenszwalb,100,25,0.26530991957974415,1,66
268,felzenszwalb,10,10,0.27724076907851714,91,67
269,felzenszwalb,100,10,0.24766728523686188,147,67
270,felzenszwalb,10,25,0.28734596519247113,25,67
271,felzenszwalb,100,25,0.18547239610199318,99,67
272,felzenszwalb,10,10,0.3451759975846175,219,68
273,felzenszwalb,100,10,0.3300471036997441,191,68
274,felzenszwalb,10,25,0.2291609573367258,92,68
275,felzenszwalb,100,25,0.30610797494946607,179,68
