,name,compactness,n_segments,fidelity,n_segs,img_num
100,slic,1.0,40,0.6296036945046348,20,16
101,slic,10.0,40,0.6358685401132935,27,16
102,slic,0.1,10,0.26064474844735164,1,17
103,slic,1.0,10,0.26573182205931,1,17
104,slic,10.0,10,0.8366703081087433,3,17
105,slic,0.1,40,0.5025814954508758,7,17
106,slic,1.0,40,0.4976992029788015,7,17
107,slic,10.0,40,0.12131115519140513,21,17
108,slic,0.1,10,0.8596649201854369,4,18
109,slic,1.0,10,0.9045131236045698,4,18
110,slic,10.0,10,0.7389301098151009,5,18
111,slic,0.1,40,0.8230156298584844,6,18
112,slic,1.0,40,0.9440878968950275,6,18
113,slic,10.0,40,0.6274001344574778,15,18
114,slic,0.1,10,0.6238711873590401,4,19
115,slic,1.0,10,0.60982136942932,4,19
116,slic,10.0,10,0.609053855792949,6,19
117,slic,0.1,40,0.5191799700655813,6,19
118,slic,1.0,40,0.37294096040430125,7,19
119,slic,10.0,40,0.089457927472262,15,19
120,slic,0.1,10,0.25936467125393003,1,20
121,slic,1.0,10,0.2614962796324404,1,20
122,slic,10.0,10,0.9990744519197667,2,20
123,slic,0.1,40,0.6738025771584318,3,20
124,slic,1.0,40,0.7882104247255896,3,20
125,slic,10.0,40,0.19924381585204287,11,20
126,slic,0.1,10,0.9999244478772901,4,21
127,slic,1.0,10,0.9999170744344437,4,21
128,slic,10.0,10,0.5545808966295591,6,21
129,slic,0.1,40,0.7172878685338124,23,21
130,slic,1.0,40,0.7165831874196752,23,21
131,slic,10.0,40,0.6182750264165842,33,21
132,slic,0.1,10,0.203497930960429,8,22
133,slic,1.0,10,0.18480023962594816,8,22
134,slic,10.0,10,0.22237885255080467,7,22
135,slic,0.1,40,0.05018619609643115,22,22
136,slic,1.0,40,0.05307187006555458,21,22
137,slic,10.0,40,0.06997340438898803,31,22
138,slic,0.1,10,0.9992916867732189,2,23
139,slic,1.0,10,0.9997931320669831,2,23
140,slic,10.0,10,0.9998799167377769,2,23
141,slic,0.1,40,0.806812740634518,16,23
142,slic,1.0,40,0.6965472636228935,15,23
143,slic,10.0,40,0.7142969790474897,32,23
144,slic,0.1,10,0.8402867633744096,3,24
145,slic,1.0,10,0.8613218781116303,3,24
146,slic,10.0,10,0.21928231371863072,7,24
147,slic,0.1,40,0.4216567294058631,9,24
148,slic,1.0,40,0.45331238096540966,9,24
149,slic,10.0,40,0.06235280207166938,29,24
150,slic,0.1,10,0.4030151240111617,7,25
151,slic,1.0,10,0.4830428969110888,6,25
